date,trade_id,direction,entry_time,entry_price,sl,tp,or_low,or_high,bias_slope,exit_time,exit_price,exit_reason,pnl_pts,pnl_usd,contracts
2026-08-17,T1,SHORT,2026-08-17 14:00:00+00:00,30164.5,30184.6,30104.2,30165.5,30266.0,-11.6005,2026-08-17 14:15:00+00:00,30184.6,SL,-20.1,-488.4,12.0
2026-08-18,T1,SHORT,2026-08-18 14:00:00+00:00,29603.75,29636.75,29504.75,29604.75,29769.75,-5.8374,2026-08-18 14:15:00+00:00,29636.75,SL,-33.0,-465.5,7.0
2026-08-18,T2,SHORT,2026-08-18 14:45:00+00:00,29603.75,29636.75,29504.75,29604.75,29769.75,-5.8374,2026-08-18 15:45:00+00:00,29636.75,SL,-33.0,-332.5,5.0
2026-08-20,T1,SHORT,2026-08-20 14:15:00+00:00,29307.75,29340.05,29210.85,29308.75,29470.25,-21.514,2026-08-20 14:30:00+00:00,29340.05,SL,-32.3,-455.7,7.0
2026-08-20,T2,SHORT,2026-08-20 15:15:00+00:00,29307.75,29340.05,29210.85,29308.75,29470.25,-21.514,2026-08-20 15:30:00+00:00,29340.05,SL,-32.3,-325.5,5.0
2026-08-25,T1,SHORT,2026-08-25 14:00:00+00:00,29278.25,29305.35,29196.95,29279.25,29414.75,-3.0883,2026-08-25 14:30:00+00:00,29196.95,TP,81.3,1458.9,9.0
2026-08-25,T2,SHORT,2026-08-25 15:45:00+00:00,29278.25,29305.35,29196.95,29279.25,29414.75,-3.0883,2026-08-25 19:30:00+00:00,29239.0,FLAT,39.25,390.0,5.0
